source,target,distance,travel_time,capacity,signal_delay,congestion
34,24,1.581,3.07,1500,1.288,0.409
24,35,0.565,0.698,500,0.816,0.552
35,24,0.732,1.576,1500,0.039,0.104
25,26,0.604,0.785,1500,1.442,0.805
26,25,1.981,2.693,1000,1.66,0.397
25,35,1.436,3.055,1500,0.648,0.087
35,25,1.377,1.671,500,0.053,0.181
26,27,1.818,2.069,2000,0.672,0.825
27,26,0.917,2.575,2000,1.248,0.409
26,36,1.238,1.984,2000,0.439,0.975
36,26,1.626,3.97,1000,0.975,0.895
27,28,0.338,0.66,2000,1.398,0.403
28,27,0.671,0.879,1000,1.969,0.526
27,37,0.592,1.15,1500,1.645,0.53
37,27,1.686,2.533,1000,1.108,0.651
27,36,0.319,0.751,500,0.533,0.732
36,27,0.726,0.961,500,0.351,0.914
28,29,1.012,1.719,1000,0.844,0.354
29,28,1.93,4.229,500,1.206,0.245
28,38,0.962,1.829,2000,1.831,0.722
38,28,1.338,1.384,1500,1.327,0.937
28,37,0.353,0.695,1500,1.683,0.846
37,28,1.924,4.408,500,1.542,0.107
29,39,0.428,0.522,500,1.41,0.598
39,29,1.081,2.817,1000,1.599,0.695
30,31,1.303,2.271,2000,1.615,0.962
31,30,1.643,2.07,500,0.37,0.542
30,40,1.784,2.172,500,1.518,0.724
40,30,1.383,1.401,1000,0.979,0.221
31,32,1.905,5.297,1000,1.177,0.999
32,31,1.245,1.919,1500,0.068,0.697
31,41,0.805,0.848,1000,0.844,0.795
41,31,1.567,4.235,1500,0.638,0.829
31,42,1.314,2.699,2000,0.962,0.885
42,31,1.201,1.915,1500,0.131,0.315
32,33,1.644,3.012,1000,1.04,0.427
33,32,1.79,2.927,1500,1.74,0.021
32,42,1.787,2.605,2000,1.865,0.07
42,32,0.316,0.858,500,0.804,0.48
33,34,1.973,2.333,500,0.673,0.523
34,33,1.545,4.604,500,0.709,0.287
33,43,0.804,1.643,500,0.555,0.91
43,33,0.377,0.927,500,1.359,0.218
34,35,0.452,0.739,2000,1.768,0.601
35,34,1.836,1.85,1500,1.982,0.232
34,44,1.903,2.482,500,1.661,0.12
44,34,0.38,0.644,500,0.373,0.78
34,45,0.398,0.407,500,1.037,0.597
45,34,1.193,2.353,1500,1.516,0.696
34,43,1.687,3.493,2000,1.496,0.035
43,34,1.821,2.009,1500,1.755,0.266
35,36,0.52,0.562,500,1.704,0.035
36,35,0.859,0.9,1500,0.174,0.408
35,45,0.934,1.843,500,0.098,0.533
45,35,1.936,4.764,2000,0.152,0.851
36,37,1.307,1.48,2000,1.324,0.544
37,36,1.77,2.151,2000,1.595,0.658
36,46,1.746,1.915,500,0.668,0.239
46,36,1.881,4.658,1500,1.505,0.159
37,38,0.35,0.396,1000,1.64,0.229
38,37,1.845,5.522,1000,1.664,0.507
37,47,0.311,0.592,1000,0.653,0.56
47,37,0.497,0.85,2000,1.08,0.78
37,48,1.594,2.296,2000,1.68,0.392
48,37,0.605,0.724,1000,1.874,0.688
37,46,0.812,1.008,1000,1.417,0.474
46,37,0.398,1.04,1000,1.743,0.973
38,39,1.947,2.337,1500,1.189,0.384
39,38,0.412,0.467,1500,0.977,0.77
38,48,1.462,2.318,1000,0.937,0.944
48,38,0.474,0.525,1500,1.59,0.694
38,49,0.44,0.559,1000,0.263,0.868
49,38,1.938,5.47,500,1.887,0.42
39,49,0.976,1.891,1500,0.624,0.321
49,39,1.532,1.844,1500,0.062,0.652
40,41,1.769,2.727,2000,0.318,0.204
41,40,0.455,1.044,1500,1.69,0.761
40,50,1.365,3.243,500,1.824,0.968
50,40,0.615,0.959,1000,0.235,0.125
41,42,1.032,2.209,500,0.322,0.652
42,41,0.854,1.175,2000,0.621,0.455
41,51,0.32,0.838,2000,0.791,0.975
51,41,1.527,1.98,500,1.72,0.78
41,52,1.117,2.769,500,0.206,0.571
52,41,0.331,0.506,2000,1.405,0.56
41,50,0.855,1.26,500,1.765,0.083
50,41,1.702,2.976,1500,0.265,0.568
42,43,1.472,1.698,1000,0.082,0.67
43,42,1.918,4.608,1500,0.063,0.936
42,52,0.388,0.559,1000,1.87,0.947
52,42,1.363,1.593,1500,1.63,0.08
43,44,1.689,2.661,1500,0.082,0.164
44,43,1.046,1.281,2000,0.494,0.16
43,53,1.782,3.717,1500,0.94,0.744
53,43,1.782,2.863,2000,0.996,0.555
43,52,1.994,2.028,1500,0.163,0.403
52,43,0.675,1.102,1500,0.515,0.463
44,45,1.776,2.171,500,1.692,0.629
45,44,1.55,1.834,2000,0.08,0.867
44,54,1.284,2.052,500,0.791,0.606
54,44,1.316,1.527,1500,0.554,0.592
44,53,1.359,1.802,1500,0.472,0.776
53,44,0.989,1.346,1000,0.475,0.971
45,46,0.608,0.673,500,0.874,0.097
46,45,0.989,1.357,1500,0.718,0.593
45,55,0.578,0.973,500,0.798,0.858
55,45,0.315,0.435,2000,0.262,0.97
45,54,0.425,0.952,1000,0.898,0.669
54,45,0.548,0.865,2000,1.234,0.707
46,47,0.584,1.312,500,1.211,0.357
47,46,1.207,1.412,2000,1.611,0.585
46,56,1.776,3.774,500,0.068,0.987
56,46,0.509,1.044,1000,0.079,0.122
47,48,0.837,1.247,1000,1.376,0.397
48,47,1.116,1.411,1000,1.904,0.639
47,57,1.775,2.789,1500,1.043,0.343
57,47,1.205,2.888,1000,0.616,0.705
47,58,1.445,1.474,500,1.462,0.156
58,47,0.699,0.716,1500,1.385,0.838
48,49,1.462,2.198,500,1.662,0.865
49,48,1.606,3.93,500,1.379,0.677
48,58,0.667,0.863,500,1.334,0.577
58,48,0.893,2.031,2000,0.096,0.977
49,59,1.63,2.292,500,0.218,0.651
59,49,1.601,1.684,1500,1.616,0.762
50,51,1.04,1.184,2000,0.594,0.649
51,50,0.858,1.139,1000,0.792,0.695
50,60,0.961,1.519,500,1.091,0.444
60,50,0.325,0.448,2000,1.336,0.619
51,52,0.946,1.04,2000,1.694,0.914
52,51,1.683,4.147,500,0.798,0.58
51,61,1.207,1.634,2000,1.099,0.747
61,51,1.516,2.227,500,0.392,0.008
52,53,0.714,0.75,1500,0.394,0.479
53,52,0.631,1.42,2000,0.514,0.285
52,62,0.822,0.947,1500,1.162,0.09
62,52,1.52,2.534,500,0.827,0.122
52,63,1.458,3.209,500,0.369,0.295
63,52,1.649,3.609,2000,1.926,0.484
53,54,1.235,3.41,1000,0.225,0.003
54,53,1.385,2.046,2000,0.456,0.212
53,63,1.339,2.204,500,1.812,0.77
63,53,1.246,2.474,2000,0.55,0.823
54,55,0.462,0.617,500,0.848,0.153
55,54,0.7,0.767,500,0.433,0.096
54,64,0.34,0.447,2000,0.412,0.638
64,54,0.737,0.976,500,0.994,0.988
54,65,1.482,2.458,1000,0.892,0.725
65,54,0.327,0.583,1000,0.208,0.724
55,56,0.766,1.983,2000,1.291,0.596
56,55,0.982,1.699,1000,0.71,0.069
55,65,1.182,3.125,500,0.14,0.64
65,55,0.761,1.044,1500,1.066,0.324
55,66,1.438,1.444,1000,0.726,0.995
66,55,1.059,1.905,1000,1.125,0.958
55,64,1.473,3.152,2000,0.819,0.423
64,55,1.697,5.079,2000,1.33,0.795
56,57,1.876,3.831,2000,1.948,0.02
57,56,1.553,1.837,500,1.684,0.521
56,66,1.36,3.463,1500,1.729,0.608
66,56,1.162,2.643,500,0.072,0.303
56,67,0.912,2.329,1500,0.478,0.51
67,56,1.703,3.276,1000,1.201,0.516
57,58,1.145,1.151,500,0.782,0.501
58,57,0.975,1.407,500,0.761,0.878
57,67,1.776,2.04,2000,0.424,0.819
67,57,0.848,2.433,1500,1.39,0.346
58,59,1.698,4.027,1000,0.627,0.606
59,58,0.537,0.576,1000,0.35,0.503
58,68,0.978,2.269,500,0.244,0.478
68,58,1.16,2.376,500,1.099,0.966
59,69,1.16,1.853,2000,1.703,0.0
69,59,0.33,0.449,1500,0.304,0.061
60,61,1.082,2.907,1500,1.509,0.619
61,60,0.806,1.299,500,0.284,0.121
60,70,0.816,2.035,2000,1.383,0.618
70,60,1.376,2.833,500,1.23,0.306
61,62,1.196,1.937,1500,1.584,0.405
62,61,1.412,2.479,1500,0.828,0.828
61,71,1.547,1.828,1000,0.497,0.134
71,61,1.012,1.176,500,1.521,0.137
61,70,0.321,0.649,500,0.398,0.065
70,61,0.372,0.641,500,1.096,0.454
62,63,1.735,4.352,1000,0.254,0.865
63,62,0.714,0.93,1500,0.752,0.394
62,72,1.081,1.262,500,0.266,0.102
72,62,1.42,1.476,1000,0.875,0.255
62,71,1.833,2.86,1500,0.991,0.386
71,62,1.065,2.198,500,0.133,0.518
63,64,0.555,0.673,500,0.887,0.048
64,63,0.365,0.439,500,0.144,0.071
63,73,0.321,0.33,500,0.775,0.462
73,63,1.986,2.025,1500,1.323,0.185
63,74,0.467,0.604,2000,0.137,0.424
74,63,0.44,0.651,500,0.591,0.769
64,65,0.949,2.018,500,0.511,0.261
65,64,0.418,0.429,1500,0.084,0.968
64,74,1.658,3.137,2000,0.228,0.486
74,64,1.865,2.74,2000,1.313,0.128
64,75,1.878,3.887,500,0.752,0.55
75,64,0.961,2.171,2000,0.481,0.122
64,73,1.808,2.367,1500,1.343,0.317
73,64,1.795,3.55,1500,0.504,0.755
65,66,1.083,1.21,2000,1.116,0.181
66,65,0.392,0.716,1000,1.969,0.937
65,75,0.373,0.842,500,1.371,0.092
75,65,1.941,2.945,1500,1.681,0.733
66,67,1.164,2.19,1500,0.303,0.094
67,66,1.281,1.395,500,0.32,0.462
66,76,0.316,0.635,500,1.763,0.278
76,66,0.63,0.685,1000,0.408,0.555
67,68,0.62,1.087,500,1.077,0.524
68,67,1.742,1.95,2000,1.491,0.202
67,77,1.929,3.333,1500,1.513,0.842
77,67,1.1,1.646,1000,0.737,0.449
68,69,1.308,2.201,500,0.004,0.178
69,68,0.349,0.786,2000,1.588,0.093
68,78,1.3,1.988,1000,1.447,0.104
78,68,0.683,0.852,2000,1.207,0.676
69,79,1.703,2.558,1000,0.298,0.695
79,69,1.568,1.587,500,1.577,0.517
70,71,0.551,0.997,1500,0.472,0.371
71,70,0.406,0.468,1500,1.997,0.933
70,80,1.392,2.267,2000,0.992,0.178
80,70,1.466,1.475,2000,0.768,0.572
71,72,0.614,1.067,1000,0.331,0.7
72,71,1.296,1.789,1000,1.036,0.299
71,81,1.899,3.752,1000,0.451,0.377
81,71,1.085,1.659,500,0.916,0.483
71,82,0.437,0.534,1000,1.819,0.78
82,71,0.312,0.84,1000,1.22,0.135
72,73,1.417,1.459,1000,0.565,0.045
73,72,0.362,0.699,1500,1.813,0.25
72,82,0.762,0.908,1000,1.69,0.268
82,72,0.566,0.627,1500,0.125,0.906
72,83,1.205,1.984,1500,0.173,0.237
83,72,1.545,2.211,2000,1.12,0.937
72,81,1.012,1.997,500,0.989,0.98
81,72,0.546,0.669,500,1.131,0.464
73,74,1.952,2.642,500,0.366,0.022
74,73,1.524,2.49,500,1.701,0.561
73,83,1.19,2.903,1000,0.808,0.543
83,73,1.646,2.354,1000,0.163,0.458
73,82,1.908,2.12,1000,0.195,0.862
82,73,1.082,1.299,2000,0.125,0.513
74,75,1.671,2.613,2000,1.588,0.497
75,74,0.878,0.959,1000,0.66,0.757
74,84,1.183,2.517,500,1.319,0.162
84,74,0.734,0.761,2000,1.97,0.772
74,85,0.411,0.639,2000,0.565,0.391
85,74,1.657,2.851,1500,1.644,0.38
75,76,1.94,4.134,1000,0.188,0.357
76,75,1.588,3.067,2000,1.596,0.396
75,85,1.856,2.694,1000,0.895,0.558
85,75,0.582,0.784,500,1.812,0.277
75,84,0.643,1.411,500,1.465,0.82
84,75,0.832,0.961,1000,0.167,0.882
76,77,1.666,2.486,2000,1.977,0.485
77,76,0.508,0.622,1000,0.332,0.882
76,86,1.027,2.326,1500,1.374,0.093
86,76,0.35,0.397,1000,0.159,0.731
76,87,1.759,2.0,1000,0.221,0.76
87,76,1.98,2.119,2000,0.919,0.358
77,78,1.708,3.068,1000,0.489,0.113
78,77,0.448,0.551,1500,0.284,0.348
77,87,1.066,1.28,500,0.871,0.577
87,77,1.555,1.785,1000,1.958,0.634
77,88,1.45,2.635,2000,0.008,0.682
88,77,0.584,0.758,500,1.674,0.279
78,79,1.48,2.192,1000,0.721,0.069
79,78,1.597,2.638,2000,1.877,0.871
78,88,1.602,1.865,500,1.798,0.651
88,78,1.786,5.357,1500,0.222,0.447
79,89,1.229,2.094,1000,1.605,0.479
89,79,0.331,0.538,1000,1.836,0.28
80,81,0.797,0.847,1000,1.399,0.839
81,80,1.969,2.634,500,0.61,0.829
80,90,0.779,0.851,1000,0.437,0.12
90,80,0.416,0.818,500,0.025,0.469
80,91,1.317,2.478,1500,1.46,0.599
91,80,0.41,0.446,1000,1.336,0.593
81,82,1.817,3.977,1500,1.063,0.838
82,81,0.785,1.267,1500,1.991,0.856
81,91,1.186,3.157,2000,0.44,0.488
91,81,1.554,2.273,500,1.338,0.829
82,83,1.18,1.902,2000,1.821,0.464
83,82,0.534,0.952,2000,0.887,0.607
82,92,1.373,1.887,500,1.279,0.676
92,82,0.524,1.07,2000,0.975,0.652
83,84,1.564,2.332,1500,0.814,0.891
84,83,0.305,0.847,1000,0.091,0.14
83,93,0.771,0.785,500,0.946,0.623
93,83,1.099,1.739,2000,0.414,0.517
83,94,0.313,0.653,1500,1.688,0.285
94,83,1.087,1.737,2000,1.025,0.293
84,85,0.975,2.491,500,1.636,0.532
85,84,1.796,2.506,1500,0.987,0.702
84,94,1.988,4.722,1000,0.33,0.39
94,84,1.541,1.672,500,1.428,0.608
84,95,1.7,1.753,1000,1.443,0.863
95,84,0.304,0.374,1500,0.119,0.604
85,86,0.495,0.839,1500,1.325,0.092
86,85,1.314,1.878,500,0.142,0.08
85,95,0.903,0.94,1500,1.292,0.646
95,85,1.81,2.471,1000,1.272,0.913
86,87,1.531,3.7,1000,1.06,0.829
87,86,1.985,2.256,500,0.844,0.295
86,96,1.126,1.568,1000,1.82,0.808
96,86,0.667,1.036,2000,1.305,0.846
87,88,1.444,2.794,500,1.723,0.59
88,87,0.685,1.161,1500,1.715,0.917
87,97,1.033,1.892,2000,0.025,0.37
97,87,0.347,0.582,2000,0.749,0.167
87,96,1.813,3.215,2000,0.68,0.517
96,87,0.944,2.795,1500,0.143,0.41
88,89,0.829,1.056,500,1.062,0.842
89,88,1.286,1.821,1500,1.377,0.141
88,98,1.126,3.2,1500,1.064,0.136
98,88,0.469,0.992,1500,0.776,0.16
88,99,1.586,2.481,1000,0.26,0.835
99,88,0.93,1.594,1500,1.777,0.603
89,99,1.973,3.753,1500,0.303,0.031
99,89,1.95,2.297,500,0.308,0.554
90,91,1.595,1.794,1500,0.712,0.827
91,90,1.505,3.334,500,0.685,0.27
91,92,1.943,2.755,1500,0.33,0.583
92,91,2.0,4.611,1000,0.978,0.402
92,93,1.99,2.162,2000,0.652,0.793
93,92,1.084,1.322,2000,0.079,0.476
93,94,1.223,2.521,2000,1.186,0.599
94,93,0.901,1.41,1000,0.261,0.791
94,95,0.512,0.594,2000,0.934,0.034
95,94,1.948,2.017,1000,1.962,0.483
95,96,1.768,2.436,1000,0.983,0.522
96,95,1.257,2.003,1500,1.023,0.492
96,97,1.281,1.408,1000,0.912,0.443
97,96,1.324,1.819,1500,1.912,0.2
97,98,0.486,0.538,500,1.28,0.298
98,97,0.709,1.309,1500,0.897,0.51
98,99,1.365,1.436,2000,1.525,0.929
99,98,0.352,0.385,1000,0.269,0.299
